,source,target,value
0,France,Germany,36
1,Bulgaria,Germany,11
2,Germany,Italy,26
3,Austria,Germany,11
4,Germany,Spain,1
5,France,Poland,11
6,Germany,Poland,28
7,Estonia,Germany,5
8,Estonia,Latvia,12
9,Latvia,Lithuania,6
10,Finland,Lithuania,12
11,Finland,Germany,5
12,Belgium,Poland,5
13,Belgium,Netherlands,6
14,Luxembourg,Netherlands,6
15,Belgium,Luxembourg,4
16,Belgium,Denmark,6
17,Denmark,Norway,12
18,Denmark,Sweden,5
19,Germany,Sweden,6
20,France,Italy,4
21,Albania,Greece,12
22,Greece,Ukraine,2
23,Belarus,Ukraine,6
24,Belarus,Libya,3
25,Egypt,Libya,16
26,Egypt,Iraq,5
27,Germany,Japan,29
28,Germany,Morocco,2
29,Algeria,Morocco,6
30,Algeria,Italy,5
31,China,Japan,27
32,Japan,Thailand,6
33,Singapore,Thailand,6
34,Guam,Singapore,6
35,Guam,Japan,16
36,Japan,Philippines,11
37,India,Japan,11
38,France,Japan,6
39,China,France,6
40,China,India,18
41,India,Pakistan,18
42,Israel,Pakistan,6
43,Israel,Libya,5
44,Germany,Libya,3
45,Pakistan,Philippines,6
46,Cambodia,Philippines,5
47,Cambodia,Kenya,6
48,Ghana,Kenya,6
49,Ghana,Seychelles,6
50,Angola,Seychelles,5
51,Estonia,Lithuania,6
52,Finland,Romania,6
53,Albania,Romania,5
54,Albania,Bulgaria,6
55,Bulgaria,Poland,6
56,Poland,Romania,6
57,Hungary,Romania,6
58,Hungary,Mongolia,4
59,China,Mongolia,6
60,China,Cuba,6
61,Australia,Canada,6
62,Cambodia,Cuba,3
63,Greece,Italy,4
64,Italy,Japan,6
65,China,Lebanon,3
66,India,Singapore,5
